ID,READ_LENGTH
131117,160
131116,160
131115,160
131114,160
201727,100
326487,350
326486,350
326485,350
326484,350
326482,350
326489,350
326488,350
97152,90
97150,85
198710,177
307736,350
307737,350
450317,166
285440,200
517119,350
517118,350
67369,200
246622,350
326483,350
182848,72
326481,350
326480,350
238508,155
238509,320
214880,200
307040,350
97145,91
97142,98
97143,103
97148,88
97149,100
351850,307
395139,370
395138,434
395134,281
395137,372
395136,361
395133,431
224222,200
224220,200
224221,200
224226,200
224227,200
145798,200
238511,595
238510,480
300293,200
337711,350
337710,350
337712,350
118614,268
118617,268
280607,200
118616,268
298447,101
614276,281
224231,200
224230,200
224233,200
224232,200
224234,200
224237,200
224236,200
138046,200
475693,200
450315,166
276251,447
450318,166
86905,105
351851,268
183774,300
145799,200
224235,200
376455,398
376454,385
307802,343
395150,401
144995,100
246592,350
483837,250
483839,250
32589,200
32588,200
337633,76
624507,200
483841,250
86898,105
86899,105
86894,105
86895,105
86896,105
86897,105
406664,350
406665,350
406666,350
406667,350
406660,350
406661,350
406662,350
406663,350
406668,350
406669,350
197675,320
428695,350
190191,300
257476,76
395162,352
395163,376
395160,344
395161,372
395166,402
395167,389
395164,368
395165,413
192916,350
192917,350
192911,350
424416,200
424415,200
489011,350
424413,200
489017,350
489014,350
550931,200
530882,368
530883,357
530880,365
530881,388
224219,200
224218,200
472446,185
201774,100
469226,100
469225,100
32590,200
406673,350
406672,350
406671,350
406670,350
406677,350
406676,350
406675,350
406674,350
406679,350
406678,350
128374,200
128377,200
395175,432
395174,281
395177,281
395176,360
395179,366
395178,377
107029,200
126960,450
182868,72
140670,100
140671,100
489058,350
489059,350
489056,350
489057,350
489054,350
489055,350
489052,350
489053,350
489050,350
489051,350
340459,100
395148,396
395149,394
395144,281
395145,348
395146,411
395140,385
395141,354
395142,390
395143,365
107156,200
107157,200
394123,350
394122,350
107031,200
107030,200
107033,200
107032,200
107035,200
107034,200
107037,200
107036,200
107038,200
307028,350
307029,350
483779,250
307735,250
140669,100
140668,100
489049,350
489048,350
489045,350
489044,350
489047,350
489046,350
489041,350
489040,350
489043,350
489042,350
467642,100
467641,100
326478,350
326479,350
86915,105
86914,105
86917,105
86916,105
86911,105
86910,105
86913,105
86912,105
198730,175
326505,350
326503,350
326500,350
298325,101
547723,200
547722,200
547725,200
547724,200
547726,200
395159,392
395158,395
395153,386
395152,400
395151,410
395157,418
395156,325
395154,352
475035,500
280574,325
280575,325
280576,300
280577,325
86908,105
86909,105
280578,325
280579,325
212400,200
307039,350
307038,350
307033,350
307032,350
307031,350
307030,350
307037,350
307036,350
307035,350
307034,350
394114,350
394115,350
394116,350
394117,350
394110,350
394111,350
394112,350
394113,350
394118,350
394119,350
389284,200
389285,200
489078,350
489079,350
489070,350
489071,350
489072,350
489073,350
489074,350
489075,350
489076,350
489077,350
198721,171
198720,178
292174,148
292173,148
413983,350
413982,350
413981,350
413980,350
413987,350
413986,350
413985,350
413984,350
86906,105
86907,105
86904,105
413988,350
86902,105
86903,105
86900,105
86901,105
198723,176
198722,177
198725,172
198724,171
198727,175
198726,170
198729,172
198728,177
113248,200
408266,245
408267,266
408265,252
351849,331
459757,100
528089,250
395180,358
395181,385
395182,399
395183,352
395184,381
395185,367
395186,397
395187,362
395188,376
395189,429
298330,101
388740,200
183464,245
183465,195
183463,157
394103,350
394102,350
394107,350
394106,350
394105,350
394104,350
394109,350
394108,350
126953,450
126952,450
126951,450
126957,450
126956,450
126955,450
126954,450
126959,450
126958,450
307750,350
307751,350
307756,350
307754,350
307755,350
406725,388
406724,372
406727,396
406726,352
406723,405
247941,100
247942,100
247943,100
247944,100
247945,100
247946,100
247947,100
389293,200
489067,350
489066,350
489065,350
489064,350
489063,350
489062,350
489061,350
489060,350
489069,350
489068,350
424406,200
408120,269
184762,300
184763,300
413978,350
413979,350
413976,350
413977,350
413974,350
413975,350
413972,350
413973,350
413970,350
413971,350
198718,174
198719,172
198714,178
198715,169
198716,176
198717,175
198711,172
198712,169
198713,173
224204,200
406680,350
224205,200
388733,200
246619,350
246618,350
246617,350
122533,250
122532,250
342411,100
131609,90
280598,350
280599,350
280596,350
280597,350
280594,350
280595,350
280592,350
280593,350
280590,350
280591,350
280608,200
280609,200
280606,200
280604,200
280605,200
280602,200
280603,200
280600,350
280601,200
483781,250
489012,350
489013,350
489010,350
424414,200
489016,350
424412,200
424411,200
489015,350
489018,350
489019,350
406404,350
406405,350
406406,350
406407,350
406400,350
406401,350
406402,350
406403,350
406408,350
406409,350
408111,299
413969,350
413968,350
413965,350
413964,350
413967,350
413966,350
413961,350
413960,350
413963,350
413962,350
404023,180
404024,180
404025,180
280589,350
280588,325
280585,325
280584,325
280587,325
280586,325
280581,325
280580,325
280583,325
280582,325
280619,200
280618,200
280615,200
280614,200
280617,200
280616,200
280611,200
280610,200
280613,200
280612,200
109983,200
109982,200
446196,200
446197,200
446195,200
446208,200
446209,200
446207,200
446205,200
483939,250
483938,250
337708,350
337709,350
489007,350
489006,350
489009,350
489008,350
337707,350
337704,350
337705,350
468649,207
428596,350
428594,350
420567,300
428590,350
140201,100
413958,350
413959,350
413956,350
413957,350
224224,200
224225,200
148570,380
224228,200
224229,200
246620,350
280628,200
280629,200
280620,200
280621,200
280622,200
280623,200
280624,200
280625,200
280626,200
280627,200
395147,363
530877,385
530876,376
530875,363
530874,281
530873,281
446172,200
530879,373
530878,361
540115,101
47179,250
307752,350
307753,350
406399,350
489038,350
489039,350
489034,350
489035,350
489036,350
489037,350
489030,350
489031,350
489032,350
489033,350
276429,200
276428,320
276426,200
428589,350
428588,350
247948,100
418165,200
480725,101
410775,300
410771,300
410779,300
280637,325
280636,325
280635,325
280634,325
280633,325
280632,325
280631,325
280630,200
280639,325
280638,325
394121,350
394120,350
410801,300
47189,250
47188,250
47185,250
47184,250
47187,250
47186,250
47180,250
489029,350
489028,350
489023,350
489022,350
489021,350
489020,350
489027,350
489026,350
489025,350
489024,350
118615,268
531284,351
326498,350
326490,350
326491,350
326492,350
326493,350
326494,350
326495,350
326496,350
326497,350
56029,200
269020,250
280642,325
280643,325
280640,325
280641,325
280644,325
268538,398
268539,281
268535,281
47190,250
