id,accession,title,lineage,taxon_id,scientific_name,library_strategy,library_layout,instrument_model,run_accession,nreads,read_average,total_spots,total_bases,size,published
30077,SRX025554,454 cDNA sequencing of embryo at 42hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071721,2,4,499235,124285809,403116315,2010-11-08 16:35:24
30076,SRX025553,454 cDNA sequencing of relaxed collar gill slit tissue,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071702,2,4,369416,105786002,306020209,2010-11-08 16:15:43
30075,SRX025552,454 cDNA sequencing of embryo at 52hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071701,2,4,392384,135730466,366174483,2010-11-08 16:15:09
30074,SRX025551,454 cDNA sequencing of embryo at 76hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071711,2,4,601360,176348680,509902999,2010-11-08 16:29:47
30073,SRX025550,454 cDNA sequencing of young adult developmental stage,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071719,2,4,577887,205334921,560896367,2010-11-08 16:34:51
30072,SRX025549,454 cDNA sequencing of embryo at 26hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071710,2,4,387556,121257141,348836238,2010-11-08 16:25:21
30071,SRX025548,454 cDNA sequencing of embryo at 47hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071707,2,4,505004,140320707,416698863,2010-11-08 16:23:23
30070,SRX025547,454 cDNA sequencing of ventral chord tissue,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071704,2,4,396085,153801153,403613468,2010-11-08 16:19:21
30069,SRX025546,454 cDNA sequencing of proboscis tip tissue,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071720,2,4,495824,106343515,365813830,2010-11-08 16:34:40
30068,SRX025545,454 cDNA sequencing of embryo at 18hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071706,2,4,515688,168539382,475859532,2010-11-08 16:22:19
30067,SRX025544,454 cDNA sequencing of embryo at 88hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071708,2,4,566345,229170202,592937711,2010-11-08 16:31:28
30066,SRX025543,454 cDNA sequencing of liver tissue,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071717,2,4,430971,139874207,387940619,2010-11-08 16:36:28
30065,SRX025542,454 cDNA sequencing of embryo at 36hrs post fertilization,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071713,2,4,566317,138976924,433039043,2010-11-08 16:31:51
30064,SRX025541,454 cDNA sequencing of ovary and testes tissues,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus; Saccoglossus kowalevskii,10224,Saccoglossus kowalevskii,EST,SINGLE,454 GS FLX Titanium,SRR071712,2,4,446304,152239670,419020907,2010-11-08 16:33:52
